student_id,login_frequency,avg_study_duration,assignment_delay_days,forum_participation,quiz_score_avg,resource_access_count,missed_deadlines_pct,session_break_freq,burnout_risk
STU-01448,4,2.86,3.79,3,61.98,10,21.76,4.63,1
STU-01115,7,1.68,3.38,2,69.92,6,29.07,5.31,1
STU-01065,7,2.47,4.06,2,56.83,10,23.06,3.94,1
STU-02288,1,0.2,8.95,0,27.25,1,72.12,9.03,2
STU-01538,5,1.95,3.99,2,62.26,8,28.46,3.97,1
STU-00669,14,4.02,0.15,15,93.94,20,1.31,1.39,0
STU-01584,5,1.93,2.72,2,64.77,9,19.75,5.1,1
STU-02405,1,1.17,6.83,1,39.82,0,64.19,9.03,2
STU-00498,10,4.59,0.04,14,87.75,15,0.85,1.27,0
STU-02481,3,1.5,7.91,1,29.61,1,58.96,10.31,2
STU-00472,9,4.63,0.68,10,89.15,22,1.08,2.01,0
STU-00247,11,3.27,0.0,13,92.06,15,0.92,2.13,0
STU-00924,12,4.09,0.11,14,93.46,17,0.77,1.87,0
STU-01132,4,2.46,2.24,2,60.6,7,32.96,3.38,1
STU-00671,9,4.71,0.01,15,88.17,16,1.62,2.61,0
STU-00917,11,4.23,0.12,15,91.21,20,1.85,1.19,0
STU-01415,6,1.95,2.77,4,63.04,5,27.66,3.87,1
STU-01607,4,1.61,2.05,4,65.13,9,23.71,3.45,1
STU-00403,13,3.82,0.21,10,98.72,16,0.7,1.73,0
STU-01104,4,2.95,2.57,5,62.73,5,16.29,5.16,1
STU-02073,1,1.34,7.78,1,32.75,2,62.94,8.39,2
STU-00720,10,4.66,0.32,11,78.0,20,1.21,2.26,1
STU-02012,2,0.72,7.57,0,39.61,3,76.5,8.35,2
STU-02437,0,1.32,6.16,1,30.03,0,71.07,9.43,2
STU-00197,13,4.79,0.45,7,87.16,14,1.83,2.51,0
STU-00892,10,4.95,0.76,14,89.93,14,1.51,2.16,0
STU-01265,4,2.48,2.78,5,60.99,10,22.89,4.16,1
STU-01035,6,1.66,3.79,5,56.82,7,28.24,5.17,1
STU-01326,6,3.5,4.04,4,65.62,8,20.76,5.3,1
STU-00510,10,4.06,0.22,7,94.0,17,2.92,1.23,0
STU-01428,5,2.97,2.76,3,66.3,8,20.63,5.16,1
STU-00195,9,4.55,0.28,12,86.71,20,0.65,1.05,0
STU-01180,4,2.53,2.03,5,67.16,6,23.13,4.29,1
STU-02033,0,1.04,8.01,1,32.7,1,67.17,8.49,2
STU-00933,10,5.16,0.33,14,78.0,15,3.64,1.54,0
STU-01125,4,2.37,3.32,4,65.92,8,19.33,3.85,1
STU-01823,5,2.15,2.45,4,65.11,7,29.03,4.89,0
STU-01367,4,2.62,2.72,5,63.04,5,25.59,4.6,1
STU-01993,2,0.28,6.8,0,38.5,3,57.54,10.78,2
STU-01259,5,3.5,3.85,5,62.36,10,20.42,5.43,1
STU-02275,0,0.51,8.57,0,28.22,0,65.06,8.91,2
STU-01274,7,3.07,3.43,4,54.09,5,23.41,4.32,1
STU-01937,1,1.5,6.2,0,39.64,2,46.21,10.03,2
STU-01267,4,2.99,3.41,2,66.19,10,23.49,3.66,1
STU-00773,13,6.0,0.32,11,97.86,19,4.88,1.28,0
STU-01609,5,2.12,3.13,3,59.12,8,25.35,6.44,1
STU-01312,7,2.49,3.25,3,62.51,7,20.9,4.8,1
STU-00135,14,4.98,0.74,10,87.75,18,0.58,2.57,0
